"id","country_id","parent_id:id","name"
"freguesia_furnas","Portugal","concelho_vila_da_povoacao","Furnas"
"freguesia_remedios","Portugal","concelho_vila_da_povoacao","Remédios"
"freguesia_povoacao","Portugal","concelho_vila_da_povoacao","Povoação"
"freguesia_ribeira_quente","Portugal","concelho_vila_da_povoacao","Ribeira Quente"
"freguesia_calhetas","Portugal","concelho_ribeira_grande","Calhetas"
"freguesia_conceicao","Portugal","concelho_ribeira_grande","Conceição"
"freguesia_fenais_da_ajuda","Portugal","concelho_ribeira_grande","Fenais da Ajuda"
"freguesia_lomba_da_maia","Portugal","concelho_ribeira_grande","Lomba da Maia"
"freguesia_lomba_de_sao_pedro","Portugal","concelho_ribeira_grande","Lomba de São Pedro"
"freguesia_maia","Portugal","concelho_ribeira_grande","Maia"
"freguesia_matriz","Portugal","concelho_ribeira_grande","Matriz"
"freguesia_pico_da_pedra_porto_formoso","Portugal","concelho_ribeira_grande","Pico da Pedra - Porto Formoso"
"freguesia_vila_de_rabo_de_peixe","Portugal","concelho_ribeira_grande","Vila de Rabo de Peixe"
"freguesia_ribeira_seca","Portugal","concelho_ribeira_grande","Ribeira Seca"
"freguesia_ribeirinha","Portugal","concelho_ribeira_grande","Ribeirinha"
"freguesia_santa_barbara","Portugal","concelho_ribeira_grande","Santa Bárbara"
"freguesia_sao_bras","Portugal","concelho_ribeira_grande","São Brás"
"freguesia_agua_de_alto","Portugal","concelho_vila_franca_do_campo","Água de Alto"
"freguesia_ponta_garca","Portugal","concelho_vila_franca_do_campo","Ponta Garça"
"freguesia_ribeira_das_tainhas","Portugal","concelho_vila_franca_do_campo","Ribeira das Tainhas"
"freguesia_ribeira_seca","Portugal","concelho_vila_franca_do_campo","Ribeira Seca"
"freguesia_sao_miguel","Portugal","concelho_vila_franca_do_campo","São Miguel"
"freguesia_sao_pedro","Portugal","concelho_vila_franca_do_campo","São Pedro"
"freguesia_altares","Portugal","concelho_angra_do_heroismo","Altares"
"freguesia_cinco_ribeiras","Portugal","concelho_angra_do_heroismo","Cinco Ribeiras"
"freguesia_doze_ribeiras","Portugal","concelho_angra_do_heroismo","Doze Ribeiras"
"freguesia_feteira","Portugal","concelho_angra_do_heroismo","Feteira"
"freguesia_conceicao","Portugal","concelho_angra_do_heroismo","Conceição"
"freguesia_porto_judeu","Portugal","concelho_angra_do_heroismo","Porto Judeu"
"freguesia_posto_santo","Portugal","concelho_angra_do_heroismo","Posto Santo"
"freguesia_raminho","Portugal","concelho_angra_do_heroismo","Raminho"
"freguesia_ribeirinha","Portugal","concelho_angra_do_heroismo","Ribeirinha"
"freguesia_santa_barbara","Portugal","concelho_angra_do_heroismo","Santa Bárbara"
